filename,street_numbers,numbers_ground_truth_filename,original_filename,original_url
Atlas_de_Jacoubet_-_28._Barrière_de_la_Cunette_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_28._Barrière_de_la_Cunette_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Atlas_de_Jacoubet_-_28._Barri%C3%A8re_de_la_Cunette_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Atlas_de_Jacoubet_-_29._Champ_de_Mars_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_30._Hôtel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Atlas_de_Jacoubet_-_30._H%C3%B4tel_Royal_des_Invalides_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bf/Atlas_de_Jacoubet_-_31._Eglise_St_Sulpice_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/1/18/Atlas_de_Jacoubet_-_32._Palais_de_Justice_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/Atlas_de_Jacoubet_-_33._Ile_Saint-Louis_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Atlas_de_Jacoubet_-_34.Place_de_la_Bastille_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Atlas_de_Jacoubet_-_35._Manufacture_des_Glaces_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg,yes,,Atlas_de_Jacoubet_-_36._Barrière_du_Trône_et_ses_environs_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b8/Atlas_de_Jacoubet_-_36._Barri%C3%A8re_du_Tr%C3%B4ne_et_ses_environs_-_BHVP.jpg
Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_(ouest)_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_(ouest)_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/Atlas_de_Jacoubet_-_37._Plaine_de_Grenelle_%28ouest%29_-_BHVP.jpg
Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_(est)_-_BHVP.jpg,no,,Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_(est)_-_BHVP.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Atlas_de_Jacoubet_-_38._Plaine_de_Grenelle_%28est%29_-_BHVP.jpg
